,method,A_te,A_tr
0,TINY,0.8739999949932099,0.8839999973773958
1,TINY,0.8910000026226044,0.9009999990463257
2,TINY,0.8420000076293944,0.8479999959468841
3,TINY,0.8489999949932098,0.8400000095367431
4,TINY,0.8839999973773955,0.872000002861023
5,TINY,0.8580000042915344,0.8870000004768372
6,TINY,0.8730000019073485,0.8820000052452088
7,TINY,0.8819999992847443,0.8669999957084655
8,TINY,0.27800000458955765,0.24800000339746475
9,TINY,0.8810000002384185,0.8880000054836273
10,Random,0.11500000096857547,0.0989999992772937
11,Random,0.17899999767541883,0.16800000369548795
12,Random,0.0910000003874302,0.11000000089406967
13,Random,0.08799999933689834,0.0930000003427267
14,Random,0.09300000034272671,0.10800000056624412
15,Random,0.11499999836087225,0.11000000014901161
16,Random,0.07799999937415124,0.07699999995529652
17,Random,0.10099999867379666,0.10900000147521495
18,Random,0.05499999932944775,0.06999999955296517
19,Random,0.10899999998509882,0.10099999904632569
